review_id,username,rating,review_text,date,sentiment
70cbb995-45af-4b54-913b-059a89faaa31,Handi Sepdika,1,"sistem pembayaran bukanya makin baik tp makin hancur, dlu bs pake Gopay,ovo ,link aja, skrg pake Blu BCA juga ga bs, beli di loket kena biaya 1000, Programer Lo busuk min ganti2in aja, orang mau buru2 malah ngupdate 😑",2024-10-10 10:05:07,negative
a0eccc1d-6111-42be-a71e-4721eb8da8a8,Abhipraya Adhipramana,5,"App nya udah bagus, dan metode pembayarannya juga udah lebih banyak dari sebelumnya. Cuma untuk metode pembayaran blu by BCA, masih susah untuk proses bindingnya terutama ketika memasukkan password. Padahal sudah sesuai dan benar namun tetap dianggap salah. Mohon diperbaiki dan terima kasih",2024-10-08 01:12:01,positive
fe3971b5-bd71-4308-ad85-87c8bdbb6cf7,Alexander Eric,2,"Metode pembayaran menggunakan aplikasi BLU selalu error dan gagal, kalau bisa secepatnya di perbaiki.",2024-10-06 11:12:42,negative
f190b2dc-3ab7-4463-92cd-63e574237807,adrian arman,1,Ga guna bayarnya susah gabisa pake virtual account,2024-09-08 02:27:07,negative
852e938c-0e36-4e43-a1a2-e04491ae155f,Hananda Linggar Kusuma,1,ribet banget masalah topup. Gmn bisa berkembang ni aplikasi.,2024-09-07 04:05:16,negative
d06f47ff-a61d-45ff-a5af-eecdddd34143,Shita Devi,3,"Kalau bisa stasiun awalnya jg bisa diubah, jgn hanya stasiun tujuan. Kalau udh beli pp, dan ternyata pulangnya gak bisa dr stasiun yg sesuai dgn yg dibeli jd repot hrs beli tiket lg",2024-08-28 11:40:32,neutral
c3b95945-95c9-4a61-8703-43f9fd0fcd34,Ryan,1,"Pilihan pembayaran kacau amat. Bukannya ada pilihan pembayaran e-wallet popular kaya gopay, ovo, dana, ini malah pake e-wallet ga jelas yg gatau siapa coba yang punya & pake. Gitu pun pembayaran bank juga ga jelas cuma bisa dari bank entah mana itu, padahal tinggal dibuatin virtual account aja beres bisa transfer semua bang. Kesannya kaya bikin aplikasi ga niat buat mempermudah pengguna tapi yg penting dapet komisi dari vendor aja.",2024-08-10 15:14:35,negative
ebf74e00-d842-4e59-8c6c-a676e904fa9b,Arman Syah,2,Bank pembayaran ny terlalu sedikit,2024-08-01 03:48:47,negative
32c384c7-5308-421f-a186-d1e8d9eccc69,Tiang alit Wong cilik,1,"Tidak bisa bayar pakai gopay, link aja, Qris",2024-07-14 05:22:53,negative
5be4e460-677b-4630-985d-8ec9771da28f,Hariming Marbilansa,1,"pembayaran pake BLU error terus, jadi gabisa beli tiket",2024-07-11 07:58:19,negative
297402a4-d746-4864-a12d-b275a41a7f90,Bila,1,Update mulu tiap hari,2024-07-11 03:06:52,negative
0e4f94d1-2b6e-45e7-aeca-85ba33d30d64,Asril Delvianti Wau,1,"Ini aplikasi MRT bukannya memudahkan malah makin ngeribetin, aplikasi nya suka error, pembelian tiket suka error. Mending lu benerin dulu deh bug nya, pengen ngomong kasar hadehhh",2024-07-10 12:28:10,negative
f981f427-fd4c-4941-ba6d-122009516b57,Park Chanyeol,1,"Pembayaran ribet. Pake bank cuma bisa blu dan master card, tapi pake blu gak bisa2. Pake isaku juga gak bisa. Apa tidak bisa pake pake alat pembayaran yg lebih mudah?",2024-07-10 10:26:19,negative
75363938-942d-49f5-a875-6921d425b05b,Hidayatullah dayat,1,Gabisa pake bca digital,2024-07-10 00:35:46,negative
8e96dfba-9b1e-4b61-acf0-b4c0874353e5,Mimpi Buruk,2,Metode pembayarannya kurang banyak e-wallet nya kurang jadi ribet naik nya juga,2024-07-08 18:28:58,negative
0a023ea2-1836-4981-a81e-40f5e0ca264a,Reubun Bekasi,1,Fasilitas tunggu d bawah minim Mana ada stasiun besar kok fasilitas apa ada nyaaa.... Gembel,2024-07-08 03:36:33,negative
cd7f14d9-c574-46c3-9b46-c455b4c8086a,Farhlis MD,2,Kebiasaan suka log oug dengan sendirinya dihilangkan lah!,2024-07-02 00:30:36,negative
351f40c7-5d90-4fa1-bbb6-94aa8435d1ce,EvHKraken (Dandi Gunawan),5,nice,2024-06-26 12:05:20,positive
2ff3d534-ba92-4def-b7be-1596a4ea12cb,Reni Anggit wahyu maharani,5,"Bagus ,enak adem nyaman dan sangat mudah untuk cara pemesan tiket ny . naik pas ulang tahun jakarta 22 juni 2024 .",2024-06-22 06:50:59,positive
3a402cbf-0138-4db3-8387-545e7f6f468e,Mega Wati,5,SEMANGGAT BANG,2024-06-15 15:28:23,positive
332a5d35-426f-4caa-8df3-6dde68dbd569,Sylviana Aristyani Putri,5,Hebaat…😁🥰,2024-06-09 14:46:36,positive
3fe0f761-b946-4972-80cd-4dc0b5805d07,Andromeda,1,Ngga bisa bayar pakai astrapay? Loading mulu,2024-06-04 22:27:13,negative
21c0304a-4d98-4c92-b24e-f0e426c54f10,Kang Rey Indorihan,5,Transportasi terbaru di DKI jakarta. Rute nya hanya dari Lebak bulus Tujuan Bundaran HI / arah sebaliknya Bundaran HI tujuan Lebak Bulus @indorihan 2019,2024-05-29 05:49:34,positive
c2983f6a-3445-42b9-9472-7eefbabbf17b,Muhammad Soerachman,5,Apa beda LRT dengan MRT Dan bagaimana cara klo kita mau naik salah satu kereta ini.,2024-05-23 15:38:34,positive
615a1274-21ec-40bb-b467-1f4c0964f09d,Rendy Prima Darmawan,2,"Gajelas buka yutup lancar, tapi buka mrtj lemot di jam sibuk, server bapuk",2024-05-13 11:18:16,negative
035704a9-9668-4053-bf8c-71e930015e50,Prince Yadhi Purnama Official,2,"Tidak bisa bayar pakai Ewalllet yang lain, tidak bisa bayar pakai QRIS yang kode batangnya bisa diunduh..... Biaya Transportasinya agak mahal.....",2024-05-10 10:19:20,negative
7f959d74-0d9e-41ae-8c36-1b28980458cc,Vicky hidayat Putra,2,Suka eror sesudah membeli tiket,2024-05-07 10:50:57,negative
